Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating
51,0,1,0,6,2,0,1,0,1,4,1,131160,1.0,11,8,0,1.0,6,1,0,0,3.0,4.0,2.0,3,3
31,1,2,1,10,1,0,2,0,1,1,0,41890,0.0,23,8,1,6.0,3,5,1,4,3.0,2.0,4.0,2,4
32,0,2,1,17,4,5,3,1,4,0,1,193280,1.0,15,8,3,5.0,2,5,0,3,2.0,2.0,1.0,3,3
38,0,0,1,2,5,0,4,1,3,8,1,83210,3.0,11,8,3,13.0,5,8,7,5,4.0,4.0,3.0,2,3
32,0,1,1,10,1,1,5,1,1,0,0,23420,4.0,12,8,2,9.0,2,6,0,4,4.0,1.0,3.0,3,3
46,0,1,1,8,3,0,6,0,4,7,1,40710,3.0,13,8,0,28.0,5,7,7,7,3.0,2.0,2.0,3,3
28,1,1,1,11,2,1,7,1,2,0,0,58130,2.0,20,8,1,5.0,2,0,0,0,1.0,3.0,1.0,3,4
29,0,1,1,18,3,0,8,1,2,0,1,31430,2.0,22,8,3,10.0,2,0,0,0,1.0,2.0,3.0,3,4
31,0,1,1,1,3,0,9,1,3,2,1,20440,0.0,21,8,0,10.0,2,9,7,8,2.0,4.0,3.0,3,4
25,0,0,1,7,4,1,10,0,4,2,2,134640,1.0,13,8,1,6.0,2,6,1,5,2.0,1.0,3.0,3,3
45,0,1,1,17,2,1,11,1,2,2,1,79910,0.0,13,8,2,21.0,2,20,4,10,3.0,4.0,3.0,2,3
36,0,1,1,28,1,0,12,1,1,2,1,33770,0.0,12,8,2,16.0,2,15,10,11,3.0,4.0,3.0,3,3
55,0,1,1,14,4,0,13,0,1,0,0,55380,0.0,17,8,0,37.0,2,36,4,13,4.0,1.0,3.0,3,3
47,1,0,1,1,1,1,14,1,1,1,1,57620,1.0,11,8,2,10.0,4,10,9,9,1.0,2.0,2.0,2,3
28,0,1,1,1,3,0,15,1,1,3,1,25920,1.0,14,8,0,5.0,2,5,0,4,4.0,4.0,2.0,3,3
37,0,1,1,1,3,0,16,1,2,4,1,53460,4.0,11,8,0,7.0,2,5,0,1,3.0,4.0,4.0,3,3
21,0,1,1,3,2,0,17,1,1,2,0,42130,1.0,12,8,3,3.0,3,3,1,0,4.0,3.0,4.0,2,3
37,0,0,1,1,3,1,18,1,2,0,2,41270,2.0,13,8,1,15.0,2,5,0,2,1.0,4.0,3.0,3,3
35,0,1,0,7,4,0,19,1,1,6,2,24380,7.0,16,8,0,10.0,5,7,6,2,2.0,2.0,2.0,2,3
38,0,1,1,8,3,0,20,0,1,5,2,68700,1.0,11,8,1,8.0,5,8,7,7,1.0,1.0,3.0,3,3
26,0,2,1,1,4,5,21,1,2,2,2,104470,1.0,18,8,0,6.0,3,6,1,4,3.0,2.0,1.0,3,3
50,0,1,0,8,4,0,22,1,1,1,2,96670,3.0,23,8,0,28.0,2,10,1,6,1.0,2.0,2.0,2,4
53,0,1,1,11,4,0,23,0,2,1,1,21480,3.0,11,8,0,21.0,2,5,1,3,3.0,3.0,2.0,3,3
42,0,1,1,4,4,0,24,1,1,3,1,89260,1.0,14,8,0,10.0,4,20,11,6,2.0,3.0,3.0,1,3
29,0,2,1,16,4,1,25,1,1,2,0,65130,1.0,11,8,1,10.0,2,10,0,9,2.0,4.0,2.0,3,3
55,0,1,1,1,4,5,26,0,1,1,1,67990,3.0,11,8,0,12.0,2,10,0,8,2.0,4.0,3.0,3,3
26,0,2,1,9,3,0,27,0,1,5,1,162910,1.0,22,8,0,5.0,3,5,3,3,1.0,1.0,3.0,3,4
37,0,1,0,5,1,2,28,1,1,1,0,27050,1.0,11,8,0,17.0,2,17,5,7,4.0,4.0,3.0,3,3
44,1,2,1,1,2,1,29,1,2,1,2,103330,3.0,14,8,1,19.0,2,1,0,0,4.0,3.0,1.0,2,3
38,0,1,0,2,3,2,30,0,1,5,2,44480,9.0,12,8,0,10.0,3,2,1,2,4.0,4.0,3.0,2,3
26,1,1,1,4,3,1,31,1,3,1,2,68540,2.0,11,8,0,5.0,5,3,0,2,1.0,2.0,3.0,2,3
28,0,1,1,7,3,5,32,1,1,8,0,96370,1.0,13,8,0,5.0,6,5,0,2,4.0,4.0,3.0,2,3
49,0,2,1,1,1,1,33,0,2,1,0,35910,9.0,13,8,0,22.0,2,3,1,2,3.0,1.0,3.0,3,3
36,0,1,0,5,3,3,34,1,3,0,0,54050,4.0,14,8,0,10.0,2,8,7,7,3.0,2.0,3.0,3,3
31,0,2,1,9,4,1,35,1,1,0,2,46840,1.0,16,8,1,2.0,4,2,2,2,4.0,2.0,2.0,3,3
26,1,1,1,8,3,1,36,1,2,5,0,157870,1.0,12,8,2,8.0,5,8,7,4,4.0,4.0,3.0,3,3
37,0,2,0,9,1,2,37,1,1,2,1,15140,1.0,14,8,0,4.0,3,4,1,2,2.0,4.0,2.0,3,3
42,0,2,0,2,2,2,38,1,3,7,1,29560,5.0,13,8,0,23.0,2,20,4,8,3.0,2.0,4.0,3,3
18,1,1,1,1,4,0,39,1,1,0,0,23350,1.0,14,8,2,0.0,3,0,0,0,3.0,3.0,3.0,2,3
35,0,1,0,20,2,0,40,1,1,2,1,51540,0.0,19,8,0,12.0,2,11,6,9,3.0,2.0,2.0,2,3
36,0,2,1,8,3,5,41,0,3,0,1,69620,4.0,12,8,2,4.0,2,1,0,0,3.0,4.0,3.0,2,3
51,0,1,1,2,3,0,42,1,2,2,2,56750,5.0,13,8,0,13.0,2,4,1,2,4.0,2.0,3.0,2,3
41,0,1,1,29,1,0,43,1,1,2,0,23790,1.0,12,8,0,22.0,6,22,0,4,4.0,2.0,3.0,3,3
18,0,1,0,7,3,0,44,1,1,1,0,38120,1.0,15,8,0,0.0,3,0,0,0,4.0,3.0,3.0,3,3
28,0,1,1,9,3,1,45,1,1,6,0,46480,0.0,23,8,2,9.0,2,8,0,7,2.0,1.0,3.0,2,4
31,0,1,1,8,1,3,46,1,1,3,1,29360,4.0,12,8,1,10.0,2,8,7,7,2.0,4.0,2.0,3,3
39,0,1,0,5,4,2,47,0,2,8,2,21050,0.0,20,8,0,19.0,3,18,3,7,3.0,4.0,2.0,3,4
36,0,0,1,5,4,0,48,1,1,0,1,85780,7.0,21,8,0,11.0,4,9,0,8,2.0,2.0,3.0,3,4
32,0,1,0,2,3,2,49,1,2,2,1,27060,1.0,21,8,1,13.0,4,13,4,8,4.0,3.0,2.0,3,4
38,0,1,1,5,2,0,50,0,3,1,1,63840,3.0,19,8,2,19.0,4,10,0,1,1.0,2.0,3.0,2,3
58,0,0,1,2,3,0,51,1,2,3,2,39680,2.0,13,8,2,12.0,3,5,1,2,4.0,3.0,3.0,2,3
31,0,1,1,20,1,3,52,0,3,1,1,99070,0.0,13,8,1,6.0,3,5,0,3,3.0,4.0,3.0,2,3
31,0,1,0,7,4,2,53,1,2,0,1,132250,3.0,21,8,1,9.0,2,2,1,0,1.0,1.0,3.0,3,4
45,0,2,1,3,1,1,54,0,1,0,2,35400,1.0,13,8,0,24.0,6,24,9,11,1.0,1.0,3.0,3,3
31,0,1,0,16,4,2,55,0,2,1,2,28040,0.0,19,8,2,3.0,0,2,2,2,3.0,4.0,1.0,3,3
33,0,2,1,9,3,0,56,1,4,7,1,193920,6.0,12,8,1,12.0,3,10,8,8,4.0,2.0,3.0,3,3
39,0,1,0,1,4,0,57,1,1,0,1,196650,1.0,22,8,1,21.0,6,21,11,10,3.0,1.0,3.0,3,4
43,0,2,1,7,4,1,58,1,4,1,0,24390,0.0,15,8,0,9.0,2,8,1,7,3.0,4.0,3.0,3,3
49,0,1,1,1,3,0,59,1,3,3,0,73140,7.0,22,8,0,25.0,2,7,0,7,3.0,3.0,3.0,3,4
52,1,1,1,7,1,0,60,0,2,1,1,47740,2.0,18,8,1,11.0,2,8,7,7,3.0,2.0,2.0,3,3
27,0,1,1,15,4,1,61,1,3,1,0,39020,1.0,22,8,0,4.0,2,4,1,2,3.0,2.0,2.0,3,4
32,0,1,1,1,3,0,62,1,3,1,1,26620,1.0,11,8,1,13.0,6,13,11,9,3.0,2.0,3.0,4,3
27,0,1,1,13,2,1,63,0,4,7,0,28560,1.0,12,8,2,5.0,5,5,0,4,4.0,3.0,3.0,4,3
